message_id,qid,cid,feat,value,group_norm
18,0,2,ARTICLE,1,0.0285714285714286
18,0,2,VERB,11,0.314285714285714
18,0,2,IPRON,2,0.0571428571428572
18,0,2,POSEMO,1,0.0285714285714286
18,0,2,INSIGHT,3,0.0857142857142857
18,0,2,I,5,0.142857142857143
18,0,2,AUXVERB,7,0.2
18,0,2,HEAR,1,0.0285714285714286
18,0,2,FEEL,4,0.114285714285714
18,0,2,SOCIAL,4,0.114285714285714
18,0,2,ANGER,2,0.0571428571428572
18,0,2,NEGATE,1,0.0285714285714286
18,0,2,PERCEPT,5,0.142857142857143
18,0,2,PREP,3,0.0857142857142857
18,0,2,DISCREP,3,0.0857142857142857
18,0,2,POWER,1,0.0285714285714286
18,0,2,ADJ,1,0.0285714285714286
18,0,2,FOCUSPRESENT,4,0.114285714285714
18,0,2,COGPROC,7,0.2
18,0,2,SAD,1,0.0285714285714286
18,0,2,COMPARE,2,0.0571428571428571
18,0,2,_intercept,1,1.0
19,0,2,CAUSE,1,0.024390243902439
19,0,2,AFFECT,4,0.097560975609756
19,0,2,ADVERB,4,0.097560975609756
19,0,2,FOCUSPAST,1,0.024390243902439
19,0,2,PRONOUN,11,0.268292682926829
19,0,2,TENTAT,2,0.048780487804878
19,0,2,ANX,1,0.024390243902439
19,0,2,PERCEPT,5,0.121951219512195
19,0,2,FUNCTION,26,0.634146341463415
19,0,2,NEGEMO,4,0.097560975609756
19,0,2,ARTICLE,1,0.024390243902439
19,0,2,INTERROG,1,0.024390243902439
19,0,2,THEY,1,0.024390243902439
19,0,2,VERB,12,0.292682926829268
19,0,2,IPRON,5,0.121951219512195
19,0,2,SAD,1,0.024390243902439
19,0,2,INSIGHT,4,0.0975609756097561
19,0,2,I,5,0.121951219512195
19,0,2,AUXVERB,5,0.121951219512195
19,0,2,HEAR,2,0.048780487804878
19,0,2,FEEL,3,0.0731707317073171
19,0,2,SOCIAL,5,0.121951219512195
19,0,2,ANGER,2,0.048780487804878
19,0,2,COMPARE,1,0.024390243902439
19,0,2,DISCREP,6,0.146341463414634
19,0,2,PREP,3,0.0731707317073171
19,0,2,COGPROC,13,0.317073170731707
19,0,2,ADJ,1,0.024390243902439
19,0,2,FOCUSPRESENT,6,0.146341463414634
19,0,2,PPRON,6,0.146341463414634
19,0,2,CONJ,4,0.0975609756097561
19,0,2,_intercept,1,1.0
20,0,2,AFFECT,3,0.111111111111111
20,0,2,ADVERB,2,0.074074074074074
20,0,2,PPRON,4,0.148148148148148
20,0,2,FUNCTION,15,0.555555555555555
20,0,2,NEGEMO,2,0.074074074074074
20,0,2,DRIVES,1,0.037037037037037
20,0,2,DIFFER,1,0.037037037037037
20,0,2,RISK,1,0.037037037037037
20,0,2,VERB,7,0.259259259259259
20,0,2,TIME,1,0.037037037037037
20,0,2,IPRON,1,0.037037037037037
20,0,2,I,4,0.148148148148148
20,0,2,POSEMO,1,0.037037037037037
20,0,2,INSIGHT,3,0.111111111111111
20,0,2,DISCREP,4,0.148148148148148
20,0,2,FEEL,4,0.148148148148148
20,0,2,AUXVERB,4,0.148148148148148
20,0,2,SOCIAL,2,0.074074074074074
20,0,2,ANGER,1,0.037037037037037
20,0,2,COMPARE,1,0.037037037037037
20,0,2,NEGATE,1,0.037037037037037
20,0,2,PERCEPT,4,0.148148148148148
20,0,2,PREP,1,0.037037037037037
20,0,2,PRONOUN,5,0.185185185185185
20,0,2,RELATIV,1,0.037037037037037
20,0,2,ADJ,1,0.037037037037037
20,0,2,FOCUSPRESENT,4,0.148148148148148
